"","","","","","","","","","","","","","","","","",""
"","","","","","","All Booking","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"#","Booking No","Booking Date","Customer","Phone","Email","Room Type","In / Out Date","Total Room","Total Day","Subtotal( SAR)","Tax( SAR)","Discount( SAR)","Total Amount( SAR)","Payment Method","Payment Status","Booking Status","Address"
"1","TT0074558SJX","25-01-2024","tasting","11xsaf","mmm@lmm.nn","panorama suit","29-01-2024 to 31-01-2024","1","3","3,900.00","585.00","0.00","4,485.00","Bank Transfer","Canceled","Checked Out","cdcdcccc"
"2","ORO0728510K6","25-01-2024","Guest User","0123456789","receptionist@themeposh.xyz","stantdard room ,king/twin","31-01-2024 to 31-01-2024","1","1","406.00","60.90","0.00","466.90","Cash On","Completed","Checked Out","llll"
"3","VM3072851A8R","25-01-2024","Guest User","0123456789","receptionist@themeposh.xyz","stantdard room ,king/twin","31-01-2024 to 31-01-2024","1","1","406.00","60.90","0.00","466.90","Cash On","Canceled","Checked Out","llll"
"4","RNS071232M4W","24-01-2024","mariam","839766","admin@themeposh.xyz","stantdard room ,king/twin","25-01-2024 to 25-01-2024","1","1","406.00","60.90","0.00","466.90","Cash On","Completed","Approved","mmmmmm"
"5","64T071231GSN","24-01-2024","mariam","839766","admin@themeposh.xyz","stantdard room ,king/twin","26-01-2024 to 29-01-2024","3","4","4,872.00","730.80","0.00","5,602.80","Cash On","Completed","Approved","mmmmmm"
"6","2AX071231WOA","24-01-2024","Guest User","839766","admin@themeposh.xyz","stantdard room ,king/twin","25-01-2024 to 25-01-2024","1","1","406.00","60.90","0.00","466.90","Cash On","Incompleted","Checked Out","mmmmmm"
"7","FIP0703325SK","24-01-2024","Guest User","kjkjhgj","admin@themeposh.xyz","stantdard room ,king/twin","27-12-2023 to 31-12-2023","1","5","2,030.00","304.50","0.00","2,334.50","Cash On","Canceled","Checked Out","xxxxxxxxxxxxxxxx111111"
"8","M6F080837DCA","23-01-2024","rana","0123456789","admin@themeposh.xyz","jonior suite","23-01-2024 to 25-01-2024","1","3","1,500.00","225.00","1,500.00","1,725.00","Bank Transfer","Completed","Checked Out","56 King Street, New York"
"9","76E080116TT6","22-01-2024","Admin","0123456789","admin@themeposh.xyz","family suite","24-01-2024 to 25-01-2024","1","2","3,000.00","450.00","0.00","3,450.00","Bank Transfer","Pending","Checked Out","56 King Street, New York"
"10","RKR061920GK2","21-01-2024","Guest User","0123456789","admin@themeposh.xyz","stantdard room ,king/twin","23-01-2024 to 24-01-2024","1","2","812.00","121.80","0.00","933.80","Bank Transfer","Pending","Pending","mmmm"
"11","QBN1231508TB","21-01-2024","Admin","0123456789","admin@themeposh.xyz","stantdard room ,king/twin","23-01-2024 to 24-01-2024","2","2","1,624.00","243.60","0.00","1,867.60","Bank Transfer","Pending","Pending","56 King Street, New York"
"12","7UO112753UGL","21-01-2024","Receptionist","0123456789","receptionist@themeposh.xyz","stantdard room ,king/twin","22-01-2024 to 30-01-2024","1","9","3,654.00","548.10","0.00","4,202.10","Bank Transfer","Pending","Pending","58 King Street, New York"
"13","E1D1013070NC","21-01-2024","Admin","0123456789","admin@themeposh.xyz","panorama suit","21-01-2024 to 22-01-2024","1","2","2,600.00","390.00","0.00","2,990.00","Bank Transfer","Pending","Pending","56 King Street, New York"
"14","XEA100736ZD8","21-01-2024","Admin","0123456789","admin@themeposh.xyz","jonior suite","21-01-2024 to 22-01-2024","2","2","3,000.00","450.00","0.00","3,450.00","Bank Transfer","Completed","Approved","56 King Street, New York ss"
"15","5L0093151R42","21-01-2024","Receptionist","0123456789","receptionist@themeposh.xyz","jonior suite","24-01-2024 to 31-01-2024","1","8","6,000.00","900.00","0.00","6,900.00","Bank Transfer","Pending","Pending","58 King Street, New York"
"16","LCY092838LZP","21-01-2024","tast","111111","tast@mmm.com","stantdard room ,king/twin","24-01-2024 to 31-12-2023","1","25","10,150.00","1,522.50","0.00","11,672.50","Bank Transfer","Pending","Pending","lllllllllllllll"
"17","KT30912126LP","21-01-2024","Admin","0123456789","admin@themeposh.xyz","stantdard room ,king/twin","23-01-2024 to 30-01-2024","1","8","3,248.00","487.20","0.00","3,735.20","Bank Transfer","Pending","Pending","56 King Street, New York"
"18","UHZ092239BVU","20-01-2024","Admin","0123456789","admin@themeposh.xyz","jonior suite","20-01-2024 to 21-01-2024","2","2","3,000.00","450.00","0.00","3,450.00","Bank Transfer","Completed","Approved","56 King Street, New York"
"19","DYN013056Z2D","26-12-2023","mariam","0123456789","receptionist@themeposh.xyz","jonior suite","30-12-2023 to 30-12-2023","1","1","750.00","75.00","0.00","825.00","Cash On","Completed","Checked Out","receptionist123456"
"20","J62123435B9G","26-12-2023","mariam","0123456789","admin@themeposh.xyz","jonior suite","27-12-2023 to 02-01-2024","2","7","21,000.00","2,100.00","0.00","23,100.00","Cash On","Completed","Approved","sweden"
"21","84B1120354CW","26-12-2023","mariam","0123456789","admin1@themeposh.xyz","jonior suite","30-12-2023 to 03-01-2024","1","5","3,250.00","195.00","11,750.00","3,445.00","Cash On","Completed","Approved","العليا، الرياض المملكة العربية السعودية"
"22","Z80105500ZLM","25-12-2023","Doris Jacobson","+1 (463) 932-3577","qipo@mailinator.com","jonior suite","28-12-2023 to 30-12-2023","3","3","6,750.00","405.00","0.00","7,155.00","Cash On","Completed","Approved","Sed praesentium prae"
"23","UMU095521XO9","24-12-2023","Admin 1","0123456789","admin@themeposh.xyz","jonior suite","05-01-2024 to 30-12-2023","3","7","15,750.00","945.00","15,750.00","16,695.00","Cash On","Completed","Approved","ت"
"24","K4Z1054396V3","21-12-2023","Receptionist","0123456789","receptionist@themeposh.xyz","jonior suite","27-12-2023 to 30-12-2023","2","4","6,000.00","360.00","0.00","6,360.00","Bank Transfer","Completed","Checked Out","58 King Street, New York"
